,center,left,right,steering,speed,throttle,break
0,/content/IMG/center_2021_05_15_04_32_09_587.jpg,/content/IMG/left_2021_05_15_04_32_09_587.jpg,/content/IMG/right_2021_05_15_04_32_09_587.jpg,0.0,1,0,4.253256
1,/content/IMG/center_2021_05_15_04_32_09_652.jpg,/content/IMG/left_2021_05_15_04_32_09_652.jpg,/content/IMG/right_2021_05_15_04_32_09_652.jpg,0.0,1,0,4.951154
2,/content/IMG/center_2021_05_15_04_32_09_719.jpg,/content/IMG/left_2021_05_15_04_32_09_719.jpg,/content/IMG/right_2021_05_15_04_32_09_719.jpg,0.0,1,0,5.878301
3,/content/IMG/center_2021_05_15_04_32_09_802.jpg,/content/IMG/left_2021_05_15_04_32_09_802.jpg,/content/IMG/right_2021_05_15_04_32_09_802.jpg,0.0,1,0,6.798285
4,/content/IMG/center_2021_05_15_04_32_09_875.jpg,/content/IMG/left_2021_05_15_04_32_09_875.jpg,/content/IMG/right_2021_05_15_04_32_09_875.jpg,0.0,1,0,7.483586
5,/content/IMG/center_2021_05_15_04_32_09_953.jpg,/content/IMG/left_2021_05_15_04_32_09_953.jpg,/content/IMG/right_2021_05_15_04_32_09_953.jpg,0.0,1,0,8.391123
6,/content/IMG/center_2021_05_15_04_32_10_022.jpg,/content/IMG/left_2021_05_15_04_32_10_022.jpg,/content/IMG/right_2021_05_15_04_32_10_022.jpg,0.0,1,0,9.291596
7,/content/IMG/center_2021_05_15_04_32_10_092.jpg,/content/IMG/left_2021_05_15_04_32_10_092.jpg,/content/IMG/right_2021_05_15_04_32_10_092.jpg,0.0,1,0,9.962317
8,/content/IMG/center_2021_05_15_04_32_10_168.jpg,/content/IMG/left_2021_05_15_04_32_10_168.jpg,/content/IMG/right_2021_05_15_04_32_10_168.jpg,0.0,1,0,10.85046
9,/content/IMG/center_2021_05_15_04_32_10_237.jpg,/content/IMG/left_2021_05_15_04_32_10_237.jpg,/content/IMG/right_2021_05_15_04_32_10_237.jpg,0.0,1,0,11.56701
10,/content/IMG/center_2021_05_15_04_32_10_310.jpg,/content/IMG/left_2021_05_15_04_32_10_310.jpg,/content/IMG/right_2021_05_15_04_32_10_310.jpg,0.0,1,0,12.42669
11,/content/IMG/center_2021_05_15_04_32_10_385.jpg,/content/IMG/left_2021_05_15_04_32_10_385.jpg,/content/IMG/right_2021_05_15_04_32_10_385.jpg,0.0,1,0,13.1344
12,/content/IMG/center_2021_05_15_04_32_10_460.jpg,/content/IMG/left_2021_05_15_04_32_10_460.jpg,/content/IMG/right_2021_05_15_04_32_10_460.jpg,0.0,1,0,14.23101
13,/content/IMG/center_2021_05_15_04_32_10_535.jpg,/content/IMG/left_2021_05_15_04_32_10_535.jpg,/content/IMG/right_2021_05_15_04_32_10_535.jpg,0.0,1,0,14.62439
14,/content/IMG/center_2021_05_15_04_32_10_612.jpg,/content/IMG/left_2021_05_15_04_32_10_612.jpg,/content/IMG/right_2021_05_15_04_32_10_612.jpg,0.0,1,0,15.43474
15,/content/IMG/center_2021_05_15_04_32_10_686.jpg,/content/IMG/left_2021_05_15_04_32_10_686.jpg,/content/IMG/right_2021_05_15_04_32_10_686.jpg,0.0,1,0,16.30769
16,/content/IMG/center_2021_05_15_04_32_10_756.jpg,/content/IMG/left_2021_05_15_04_32_10_756.jpg,/content/IMG/right_2021_05_15_04_32_10_756.jpg,-0.15,1,0,17.17502
17,/content/IMG/center_2021_05_15_04_32_10_827.jpg,/content/IMG/left_2021_05_15_04_32_10_827.jpg,/content/IMG/right_2021_05_15_04_32_10_827.jpg,-0.35,1,0,17.94004
18,/content/IMG/center_2021_05_15_04_32_10_901.jpg,/content/IMG/left_2021_05_15_04_32_10_901.jpg,/content/IMG/right_2021_05_15_04_32_10_901.jpg,-0.5500001,1,0,18.64315
19,/content/IMG/center_2021_05_15_04_32_10_976.jpg,/content/IMG/left_2021_05_15_04_32_10_976.jpg,/content/IMG/right_2021_05_15_04_32_10_976.jpg,-0.7,1,0,19.0053
20,/content/IMG/center_2021_05_15_04_32_11_046.jpg,/content/IMG/left_2021_05_15_04_32_11_046.jpg,/content/IMG/right_2021_05_15_04_32_11_046.jpg,0.0,1,0,19.7275
21,/content/IMG/center_2021_05_15_04_32_11_116.jpg,/content/IMG/left_2021_05_15_04_32_11_116.jpg,/content/IMG/right_2021_05_15_04_32_11_116.jpg,0.0,1,0,20.31708
22,/content/IMG/center_2021_05_15_04_32_11_195.jpg,/content/IMG/left_2021_05_15_04_32_11_195.jpg,/content/IMG/right_2021_05_15_04_32_11_195.jpg,0.0,1,0,21.10966
23,/content/IMG/center_2021_05_15_04_32_11_262.jpg,/content/IMG/left_2021_05_15_04_32_11_262.jpg,/content/IMG/right_2021_05_15_04_32_11_262.jpg,-0.1,1,0,21.90302
24,/content/IMG/center_2021_05_15_04_32_11_336.jpg,/content/IMG/left_2021_05_15_04_32_11_336.jpg,/content/IMG/right_2021_05_15_04_32_11_336.jpg,-0.25,1,0,22.46085
25,/content/IMG/center_2021_05_15_04_32_11_413.jpg,/content/IMG/left_2021_05_15_04_32_11_413.jpg,/content/IMG/right_2021_05_15_04_32_11_413.jpg,-0.45,1,0,23.16543
26,/content/IMG/center_2021_05_15_04_32_11_484.jpg,/content/IMG/left_2021_05_15_04_32_11_484.jpg,/content/IMG/right_2021_05_15_04_32_11_484.jpg,0.0,1,0,23.85092
27,/content/IMG/center_2021_05_15_04_32_11_553.jpg,/content/IMG/left_2021_05_15_04_32_11_553.jpg,/content/IMG/right_2021_05_15_04_32_11_553.jpg,0.0,1,0,24.42285
28,/content/IMG/center_2021_05_15_04_32_11_624.jpg,/content/IMG/left_2021_05_15_04_32_11_624.jpg,/content/IMG/right_2021_05_15_04_32_11_624.jpg,0.0,1,0,25.18807
29,/content/IMG/center_2021_05_15_04_32_11_691.jpg,/content/IMG/left_2021_05_15_04_32_11_691.jpg,/content/IMG/right_2021_05_15_04_32_11_691.jpg,0.0,1,0,25.76071
30,/content/IMG/center_2021_05_15_04_32_11_758.jpg,/content/IMG/left_2021_05_15_04_32_11_758.jpg,/content/IMG/right_2021_05_15_04_32_11_758.jpg,0.0,1,0,26.52074
31,/content/IMG/center_2021_05_15_04_32_11_826.jpg,/content/IMG/left_2021_05_15_04_32_11_826.jpg,/content/IMG/right_2021_05_15_04_32_11_826.jpg,-0.15,1,0,27.07985
32,/content/IMG/center_2021_05_15_04_32_11_893.jpg,/content/IMG/left_2021_05_15_04_32_11_893.jpg,/content/IMG/right_2021_05_15_04_32_11_893.jpg,-0.3,1,0,27.60197
33,/content/IMG/center_2021_05_15_04_32_11_969.jpg,/content/IMG/left_2021_05_15_04_32_11_969.jpg,/content/IMG/right_2021_05_15_04_32_11_969.jpg,-0.5000001,1,0,28.21996
34,/content/IMG/center_2021_05_15_04_32_12_037.jpg,/content/IMG/left_2021_05_15_04_32_12_037.jpg,/content/IMG/right_2021_05_15_04_32_12_037.jpg,0.0,1,0,28.88751
35,/content/IMG/center_2021_05_15_04_32_12_104.jpg,/content/IMG/left_2021_05_15_04_32_12_104.jpg,/content/IMG/right_2021_05_15_04_32_12_104.jpg,0.0,1,0,29.43111
36,/content/IMG/center_2021_05_15_04_32_12_172.jpg,/content/IMG/left_2021_05_15_04_32_12_172.jpg,/content/IMG/right_2021_05_15_04_32_12_172.jpg,-0.05,1,0,29.97699
37,/content/IMG/center_2021_05_15_04_32_12_245.jpg,/content/IMG/left_2021_05_15_04_32_12_245.jpg,/content/IMG/right_2021_05_15_04_32_12_245.jpg,-0.25,1,0,30.17929
38,/content/IMG/center_2021_05_15_04_32_12_315.jpg,/content/IMG/left_2021_05_15_04_32_12_315.jpg,/content/IMG/right_2021_05_15_04_32_12_315.jpg,-0.4,1,0,30.16127
39,/content/IMG/center_2021_05_15_04_32_12_387.jpg,/content/IMG/left_2021_05_15_04_32_12_387.jpg,/content/IMG/right_2021_05_15_04_32_12_387.jpg,-0.6000001,1,0,30.1356
40,/content/IMG/center_2021_05_15_04_32_12_456.jpg,/content/IMG/left_2021_05_15_04_32_12_456.jpg,/content/IMG/right_2021_05_15_04_32_12_456.jpg,0.0,1,0,30.18296
41,/content/IMG/center_2021_05_15_04_32_12_526.jpg,/content/IMG/left_2021_05_15_04_32_12_526.jpg,/content/IMG/right_2021_05_15_04_32_12_526.jpg,0.0,1,0,30.18903
42,/content/IMG/center_2021_05_15_04_32_12_595.jpg,/content/IMG/left_2021_05_15_04_32_12_595.jpg,/content/IMG/right_2021_05_15_04_32_12_595.jpg,0.0,1,0,30.18986
43,/content/IMG/center_2021_05_15_04_32_12_672.jpg,/content/IMG/left_2021_05_15_04_32_12_672.jpg,/content/IMG/right_2021_05_15_04_32_12_672.jpg,-0.15,1,0,30.18673
44,/content/IMG/center_2021_05_15_04_32_12_741.jpg,/content/IMG/left_2021_05_15_04_32_12_741.jpg,/content/IMG/right_2021_05_15_04_32_12_741.jpg,-0.35,1,0,30.16558
45,/content/IMG/center_2021_05_15_04_32_12_814.jpg,/content/IMG/left_2021_05_15_04_32_12_814.jpg,/content/IMG/right_2021_05_15_04_32_12_814.jpg,0.0,1,0,30.18052
46,/content/IMG/center_2021_05_15_04_32_12_885.jpg,/content/IMG/left_2021_05_15_04_32_12_885.jpg,/content/IMG/right_2021_05_15_04_32_12_885.jpg,0.0,1,0,30.18895
47,/content/IMG/center_2021_05_15_04_32_12_957.jpg,/content/IMG/left_2021_05_15_04_32_12_957.jpg,/content/IMG/right_2021_05_15_04_32_12_957.jpg,0.0,1,0,30.19008
48,/content/IMG/center_2021_05_15_04_32_13_026.jpg,/content/IMG/left_2021_05_15_04_32_13_026.jpg,/content/IMG/right_2021_05_15_04_32_13_026.jpg,0.0,1,0,30.19023
