center,left,right,steering,speed,throttle,break
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_09_587.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_09_587.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_09_587.jpg,0,1,0,4.253256
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_09_652.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_09_652.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_09_652.jpg,0,1,0,4.951154
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_09_719.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_09_719.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_09_719.jpg,0,1,0,5.878301
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_09_802.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_09_802.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_09_802.jpg,0,1,0,6.798285
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_09_875.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_09_875.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_09_875.jpg,0,1,0,7.483586
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_09_953.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_09_953.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_09_953.jpg,0,1,0,8.391123
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_10_022.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_10_022.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_10_022.jpg,0,1,0,9.291596
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_10_092.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_10_092.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_10_092.jpg,0,1,0,9.962317
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_10_168.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_10_168.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_10_168.jpg,0,1,0,10.85046
C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\center_2021_05_15_04_32_10_237.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\left_2021_05_15_04_32_10_237.jpg,C:\Users\lavee\PycharmProjects\Self_Driving\data\IMG\right_2021_05_15_04_32_10_237.jpg,0,1,0,11.56701
