,Left,Right,Steering_angle,Speed
0,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-39.8470_1.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-39.8690_1.jpg,0.0000,0.0001
1,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-39.9367_2.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-39.9543_2.jpg,0.0000,0.0001
2,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-40.0602_3.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-40.0767_3.jpg,0.0000,0.0001
3,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-40.1610_4.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-40.1760_4.jpg,0.0000,0.0001
4,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-40.2716_5.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-40.2889_5.jpg,0.0000,0.0001
5,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-40.3598_6.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-40.3734_6.jpg,0.0000,0.0001
6,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-40.4520_7.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-40.4638_7.jpg,0.0000,0.0001
7,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-40.5123_8.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-40.5250_8.jpg,0.0000,0.0001
8,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-40.6780_9.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-40.6945_9.jpg,0.0000,0.0001
9,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_left_512x512_07-20-52-40.8022_10.jpg,W:/Mathematical Computations/Projects/Unity CNN/Screenshots/screenshot_right_512x512_07-20-52-40.8205_10.jpg,0.0000,0.0001
